Script Parameters:
  FEW_SHOT: 0.01
  FUSION_TYPE: subtraction
  BATCH_SIZE: 1024
  LEARNING_RATE: 0.05
  PATIENCE: 100
  EPOCHS: 800
  PREDICTION_THRESHOLD: 0.5
  TOKEN_MAX_LENGTH: 256
non loaded keys  {'logit_scale': tensor(3.1560)}
    finished loading the weights the weights from /cluster/projects/mcintoshgroup/publicData/fine-grain/CXR-CLIP-Image-Encoder/r50_m.tar
  INPUT_SIZE: 224
  EXPERIMENT_MODEL: cxrclip_r50m
  MODEL_NAME: cxrclip
  CACHE_PARENT_DIR: cxrclip_encoder_features
  mean: [0.485, 0.456, 0.406]
  std: [0.229, 0.224, 0.225]
Encoding train set...
[SUCCESS] Object loaded successfully.
Encoding val set...
[SUCCESS] Object loaded successfully.
Encoding test set...
[SUCCESS] Object loaded successfully.
 Few-shot size: torch.Size([2014]), total training size 201598
Training classifier...
Epoch 0 | Train Loss: 0.6852 | Val Loss: 2.6496
Epoch 1 | Train Loss: 0.6526 | Val Loss: 2.5499
Epoch 2 | Train Loss: 0.6326 | Val Loss: 2.5305
Epoch 3 | Train Loss: 0.6204 | Val Loss: 2.5197
Epoch 4 | Train Loss: 0.6135 | Val Loss: 2.5165
Epoch 5 | Train Loss: 0.6097 | Val Loss: 2.5255
Epoch 6 | Train Loss: 0.6050 | Val Loss: 2.5012
Epoch 7 | Train Loss: 0.6023 | Val Loss: 2.5026
Epoch 8 | Train Loss: 0.5990 | Val Loss: 2.5067
Epoch 9 | Train Loss: 0.5961 | Val Loss: 2.4912
Epoch 10 | Train Loss: 0.5931 | Val Loss: 2.4812
Epoch 11 | Train Loss: 0.5910 | Val Loss: 2.4662
Epoch 12 | Train Loss: 0.5882 | Val Loss: 2.4669
Epoch 13 | Train Loss: 0.5855 | Val Loss: 2.4711
Epoch 14 | Train Loss: 0.5837 | Val Loss: 2.4732
Epoch 15 | Train Loss: 0.5810 | Val Loss: 2.4382
Epoch 16 | Train Loss: 0.5798 | Val Loss: 2.4286
Epoch 17 | Train Loss: 0.5773 | Val Loss: 2.4640
Epoch 18 | Train Loss: 0.5756 | Val Loss: 2.4239
Epoch 19 | Train Loss: 0.5742 | Val Loss: 2.3999
Epoch 20 | Train Loss: 0.5720 | Val Loss: 2.4360
Epoch 21 | Train Loss: 0.5708 | Val Loss: 2.4291
Epoch 22 | Train Loss: 0.5693 | Val Loss: 2.3867
Epoch 23 | Train Loss: 0.5683 | Val Loss: 2.4042
Epoch 24 | Train Loss: 0.5677 | Val Loss: 2.4619
Epoch 25 | Train Loss: 0.5658 | Val Loss: 2.3950
Epoch 26 | Train Loss: 0.5638 | Val Loss: 2.3748
Epoch 27 | Train Loss: 0.5624 | Val Loss: 2.4064
Epoch 28 | Train Loss: 0.5609 | Val Loss: 2.4310
Epoch 29 | Train Loss: 0.5609 | Val Loss: 2.3914
Epoch 30 | Train Loss: 0.5586 | Val Loss: 2.3834
Epoch 31 | Train Loss: 0.5575 | Val Loss: 2.3934
Epoch 32 | Train Loss: 0.5570 | Val Loss: 2.4112
Epoch 33 | Train Loss: 0.5556 | Val Loss: 2.3894
Epoch 34 | Train Loss: 0.5547 | Val Loss: 2.3758
Epoch 35 | Train Loss: 0.5534 | Val Loss: 2.3928
Epoch 36 | Train Loss: 0.5527 | Val Loss: 2.4015
Epoch 37 | Train Loss: 0.5519 | Val Loss: 2.3905
Epoch 38 | Train Loss: 0.5505 | Val Loss: 2.3755
Epoch 39 | Train Loss: 0.5500 | Val Loss: 2.3976
Epoch 40 | Train Loss: 0.5490 | Val Loss: 2.3977
Epoch 41 | Train Loss: 0.5487 | Val Loss: 2.3731
Epoch 42 | Train Loss: 0.5477 | Val Loss: 2.3887
Epoch 43 | Train Loss: 0.5464 | Val Loss: 2.3843
Epoch 44 | Train Loss: 0.5458 | Val Loss: 2.3744
Epoch 45 | Train Loss: 0.5447 | Val Loss: 2.3691
Epoch 46 | Train Loss: 0.5443 | Val Loss: 2.3809
Epoch 47 | Train Loss: 0.5437 | Val Loss: 2.4127
Epoch 48 | Train Loss: 0.5433 | Val Loss: 2.3827
Epoch 49 | Train Loss: 0.5419 | Val Loss: 2.3692
Epoch 50 | Train Loss: 0.5417 | Val Loss: 2.3766
Epoch 51 | Train Loss: 0.5413 | Val Loss: 2.4076
Epoch 52 | Train Loss: 0.5403 | Val Loss: 2.3770
Epoch 53 | Train Loss: 0.5394 | Val Loss: 2.3684
Epoch 54 | Train Loss: 0.5387 | Val Loss: 2.3790
Epoch 55 | Train Loss: 0.5379 | Val Loss: 2.3947
Epoch 56 | Train Loss: 0.5377 | Val Loss: 2.3881
Epoch 57 | Train Loss: 0.5367 | Val Loss: 2.3667
Epoch 58 | Train Loss: 0.5367 | Val Loss: 2.3818
Epoch 59 | Train Loss: 0.5361 | Val Loss: 2.3823
Epoch 60 | Train Loss: 0.5351 | Val Loss: 2.4024
Epoch 61 | Train Loss: 0.5344 | Val Loss: 2.3820
Epoch 62 | Train Loss: 0.5339 | Val Loss: 2.3697
Epoch 63 | Train Loss: 0.5338 | Val Loss: 2.3855
Epoch 64 | Train Loss: 0.5326 | Val Loss: 2.3819
Epoch 65 | Train Loss: 0.5323 | Val Loss: 2.3706
Epoch 66 | Train Loss: 0.5319 | Val Loss: 2.3950
Epoch 67 | Train Loss: 0.5308 | Val Loss: 2.3882
Epoch 68 | Train Loss: 0.5308 | Val Loss: 2.3787
Epoch 69 | Train Loss: 0.5300 | Val Loss: 2.3881
Epoch 70 | Train Loss: 0.5299 | Val Loss: 2.3890
Epoch 71 | Train Loss: 0.5290 | Val Loss: 2.3774
Epoch 72 | Train Loss: 0.5293 | Val Loss: 2.3854
Epoch 73 | Train Loss: 0.5281 | Val Loss: 2.3873
Epoch 74 | Train Loss: 0.5277 | Val Loss: 2.3829
Epoch 75 | Train Loss: 0.5273 | Val Loss: 2.3909
Epoch 76 | Train Loss: 0.5273 | Val Loss: 2.3982
Epoch 77 | Train Loss: 0.5264 | Val Loss: 2.3729
Epoch 78 | Train Loss: 0.5262 | Val Loss: 2.3916
Epoch 79 | Train Loss: 0.5255 | Val Loss: 2.3877
Epoch 80 | Train Loss: 0.5251 | Val Loss: 2.3921
Epoch 81 | Train Loss: 0.5244 | Val Loss: 2.4086
Epoch 82 | Train Loss: 0.5244 | Val Loss: 2.3849
Epoch 83 | Train Loss: 0.5244 | Val Loss: 2.3952
Epoch 84 | Train Loss: 0.5234 | Val Loss: 2.3712
Epoch 85 | Train Loss: 0.5234 | Val Loss: 2.3882
Epoch 86 | Train Loss: 0.5223 | Val Loss: 2.4140
Epoch 87 | Train Loss: 0.5224 | Val Loss: 2.4025
Epoch 88 | Train Loss: 0.5216 | Val Loss: 2.3797
Epoch 89 | Train Loss: 0.5214 | Val Loss: 2.3871
